:rec-76258-org:  21:f:dylan:hope:mccabe crescent:qld:31: :19910923:2035997
:rec-61097-org:  25:f:isabella:wimmer:meston place:nsw:107:02 12025107:19870522:1563153
:rec-48433-dup-3:20:f: :wilkinjs: :vic:6:618 25670150: :8646380
:rec-66241-org:  27: :ella:petersen:windradyne street:nsw:27:02 67824708:19850413:4326178
:rec-62730-org:  29:m:logan:jolly:cooksey place:nsw:28:08 83763339:19830729:8804411
:rec-49740-org:  37: :carlin:mason:waller crescent:qld:6:3 88177705: :2487943
:rec-55291-dup-2:31: :paul:gib :macindoe place:nsw:1:2899 05 902:1981 0  4:2928714
:rec-96206-org:   :f:kirra:everett:boolee street:nsw:37:2 13048311:19840109:9090068
:rec-24758-org:  34:f:ethan:garcia:box hill avenue:wa:82:618 48402954:19780623:8718457
:rec-67575-org:  20: :luke:thibodeau:dooring street:nsw:12:612 03099764:19920111:6715604
